Rank,City,Municipality,State,City status,Region,Geo. coordinates,2010 Census,2020 Census,Change %
12,Merida,Mérida,Yucatan,State capital and largest city,South,20°58′04″N89°37′18″W﻿/ 20.96778°N 89.62167°W﻿/ 20.96778; -89.62167,"777,615","921,771",18.54
13,Naucalpan,"Naucalpan, Huixquilucan‡",State of Mexico,City,Center,19°28′31″N99°14′16″W﻿/ 19.47528°N 99.23778°W﻿/ 19.47528; -99.23778,"913,681","911,168",-0.28
14,Toluca,Toluca,State of Mexico,State capital,Center,19°17′32″N99°39′14″W﻿/ 19.29222°N 99.65389°W﻿/ 19.29222; -99.65389,"489,333","910,608",86.09
15,Cancún,Benito Juárez,Quintana Roo,State largest city,South,21°09′38″N86°50′51″W﻿/ 21.16056°N 86.84750°W﻿/ 21.16056; -86.84750,"628,306","888,797",41.46
16,Saltillo,Saltillo,Coahuila,State capital and largest city,North,25°26′00″N101°00′00″W﻿/ 25.43333°N 101.00000°W﻿/ 25.43333; -101.00000,"709,671","864,431",21.81
17,Aguascalientes,Aguascalientes,Aguascalientes,State capital and largest city,West,21°52′51″N102°17′46″W﻿/ 21.88083°N 102.29611°W﻿/ 21.88083; -102.29611,"722,250","863,893",19.61
18,Hermosillo,Hermosillo,Sonora,State capital and largest city,North,29°05′56″N110°57′15″W﻿/ 29.09889°N 110.95417°W﻿/ 29.09889; -110.95417,"715,061","855,563",19.65
19,Mexicali,Mexicali,Baja California,State capital,North,32°39′48″N115°28′04″W﻿/ 32.66333°N 115.46778°W﻿/ 32.66333; -115.46778,"689,775","854,186",23.84
20,San Luis Potosi,San Luis Potosí,San Luis Potosi,State capital and largest city,Center,22°08′59″N100°58′30″W﻿/ 22.14972°N 100.97500°W﻿/ 22.14972; -100.97500,"722,772","845,941",17.04
21,Culiacan,Culiacán,Sinaloa,State capital and largest city,North,24°47′31″N107°23′53″W﻿/ 24.79194°N 107.39806°W﻿/ 24.79194; -107.39806,"675,773","808,416",19.63
22,Queretaro,Querétaro,Queretaro,State capital and largest city,Center,20°35′17″N100°23′17″W﻿/ 20.58806°N 100.38806°W﻿/ 20.58806; -100.38806,"626,495","794,789",26.86
23,Morelia,Morelia,Michoacan,State capital and largest city,West,19°42′08″N101°11′08″W﻿/ 19.70222°N 101.18556°W﻿/ 19.70222; -101.18556,"597,511","743,275",24.4
24,Chimalhuacan,Chimalhuacán,State of Mexico,City,Center,19°26′15″N98°57′15″W﻿/ 19.43750°N 98.95417°W﻿/ 19.43750; -98.95417,"612,383","703,215",14.83
25,Reynosa,Reynosa,Tamaulipas,State largest city,North,26°05′32″N98°16′40″W﻿/ 26.09222°N 98.27778°W﻿/ 26.09222; -98.27778,"589,466","691,557",17.32
26,Torreon,Torreón,Coahuila,City,North,25°32′40″N103°26′30″W﻿/ 25.54444°N 103.44167°W﻿/ 25.54444; -103.44167,"608,836","690,193",13.36
27,Tlalnepantla,Tlalnepantla,State of Mexico,City,Center,19°32′12″N99°11′41″W﻿/ 19.53667°N 99.19472°W﻿/ 19.53667; -99.19472,"653,410","658,907",0.84
28,Acapulco,Acapulco,Guerrero,State largest city,West,16°51′42″N99°53′11″W﻿/ 16.86167°N 99.88639°W﻿/ 16.86167; -99.88639,"673,479","658,609",-2.21
29,Tlaquepaque,Tlaquepaque,Jalisco,City,West,20°38′19″N103°18′26″W﻿/ 20.63861°N 103.30722°W﻿/ 20.63861; -103.30722,"575,942","650,123",12.88
30,Guadalupe,Guadalupe,Nuevo Leon,City,North,25°40′45″N100°14′06″W﻿/ 25.67917°N 100.23500°W﻿/ 25.67917; -100.23500,"673,616","635,862",-5.6
31,Durango,Durango,Durango,State capital and largest city,North,24°01′22″N104°39′16″W﻿/ 24.02278°N 104.65444°W﻿/ 24.02278; -104.65444,"518,709","616,068",18.77
